config,model_type,block_size,small_block_size,threshold,batch_size,max_new_tokens,num_samples,corpus_bleu4,corpus_bleu_norm,corpus_bleu_code,avg_bleu4,avg_bleu_norm,avg_bleu_code,avg_rouge1,avg_rouge2,avg_rougeL,avg_meteor,avg_cider,avg_tokens_per_second,avg_ms_per_token,avg_tokens_per_step,avg_diffusion_steps,avg_generated_tokens
AR_baseline,AR,,,,1,1024,1000,0.0147,0.0199,0.0224,0.0221,0.0264,0.0287,0.1663,0.0374,0.1486,0.0992,0.2048,9.53,111.439,1.0,16.59,16.59
bs16_sbs4_th0.2_cacheTrue_batch1_mnt128,dLLM,16,4,0.2,1,128,1000,0.0082,0.0108,0.0114,0.0149,0.0172,0.0181,0.1291,0.0235,0.1164,0.0997,0.1832,11.19,95.882,2.1618,21.84,47.07
bs16_sbs4_th0.4_cacheTrue_batch1_mnt128,dLLM,16,4,0.4,1,128,1000,0.0106,0.0146,0.0142,0.0167,0.02,0.0204,0.1372,0.0277,0.1215,0.1084,0.2113,9.28,114.615,1.6577,26.97,44.65
bs16_sbs4_th0.6_cacheTrue_batch1_mnt128,dLLM,16,4,0.6,1,128,1000,0.0103,0.0152,0.0151,0.0163,0.0201,0.0207,0.141,0.0278,0.1257,0.1114,0.2082,8.26,127.996,1.4381,28.98,41.84
bs16_sbs4_th0.8_cacheTrue_batch1_mnt128,dLLM,16,4,0.8,1,128,1000,0.0102,0.0147,0.0148,0.0163,0.0199,0.0206,0.143,0.0284,0.1268,0.1137,0.2081,7.69,136.596,1.3125,31.19,41.09
bs16_sbs4_th1.0_cacheTrue_batch1_mnt128,dLLM,16,4,1.0,1,128,1000,0.0099,0.0143,0.0148,0.0158,0.0195,0.0207,0.1438,0.0289,0.1275,0.1155,0.2059,6.22,164.438,1.0026,39.38,39.46
bs16_sbs8_th0.2_cacheTrue_batch1_mnt128,dLLM,16,8,0.2,1,128,1000,0.0091,0.0122,0.0126,0.0162,0.0189,0.0199,0.1266,0.0247,0.1133,0.0955,0.1979,12.97,84.283,2.6013,19.63,50.83
bs16_sbs8_th0.4_cacheTrue_batch1_mnt128,dLLM,16,8,0.4,1,128,1000,0.0109,0.0133,0.0139,0.0168,0.0189,0.0199,0.1345,0.0276,0.1195,0.111,0.2137,10.02,107.896,1.8353,24.74,45.38
bs16_sbs8_th0.6_cacheTrue_batch1_mnt128,dLLM,16,8,0.6,1,128,1000,0.0102,0.014,0.0141,0.0162,0.0195,0.0204,0.1342,0.0284,0.1199,0.109,0.2092,8.73,122.451,1.5399,27.83,42.86
bs16_sbs8_th0.8_cacheTrue_batch1_mnt128,dLLM,16,8,0.8,1,128,1000,0.0105,0.015,0.0148,0.0163,0.0198,0.0205,0.1354,0.0296,0.1207,0.1096,0.214,8.03,132.037,1.3816,30.4,42.18
bs16_sbs8_th1.0_cacheTrue_batch1_mnt128,dLLM,16,8,1.0,1,128,1000,0.0099,0.0144,0.0144,0.0156,0.0191,0.0202,0.1354,0.0294,0.1209,0.1098,0.2067,6.24,164.275,1.0025,40.58,40.66
bs32_sbs16_th0.2_cacheTrue_batch1_mnt128,dLLM,32,16,0.2,1,128,1000,0.008,0.0107,0.0103,0.0148,0.0174,0.0187,0.1167,0.0215,0.1067,0.0859,0.1769,18.31,60.927,3.45,20.57,67.47
bs32_sbs16_th0.4_cacheTrue_batch1_mnt128,dLLM,32,16,0.4,1,128,1000,0.0104,0.0139,0.0147,0.0165,0.0192,0.0208,0.1223,0.0272,0.1109,0.0995,0.1994,12.66,86.151,2.2063,26.52,56.22
bs32_sbs16_th0.6_cacheTrue_batch1_mnt128,dLLM,32,16,0.6,1,128,1000,0.0118,0.0159,0.0168,0.017,0.0205,0.0221,0.1252,0.0299,0.1131,0.103,0.2035,10.65,100.843,1.8046,29.12,50.84
bs32_sbs16_th0.8_cacheTrue_batch1_mnt128,dLLM,32,16,0.8,1,128,1000,0.0119,0.0167,0.0175,0.0171,0.0211,0.0226,0.1289,0.0307,0.1156,0.1041,0.2074,9.55,111.689,1.5822,30.36,47.11
bs32_sbs16_th0.8_cacheTrue_batch1_mnt64,dLLM,32,16,0.8,1,64,1000,0.0121,0.017,0.0178,0.0172,0.0212,0.0227,0.1293,0.0309,0.116,0.1042,0.2087,8.81,120.144,1.5318,27.17,40.5
bs32_sbs16_th1.0_cacheTrue_batch1_mnt128,dLLM,32,16,1.0,1,128,1000,0.0117,0.0165,0.0173,0.0168,0.0207,0.0222,0.1275,0.0302,0.1145,0.1033,0.2053,6.61,154.104,1.0011,46.2,46.24
